Gene,Mutation_Remark,System/Pathway_info,Drug_Name_and_Combination,Phases,Primary Phenotype Measures,Primary/Secondary_Hypertension,Drug_Class,Source
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Dapagliflozin with patient undergoing ACE Inhibitor,PHASE3,"Adjusted Mean Change From Baseline in Seated Systolic Blood Pressure for 12 Week Double-Blind Treatment Period - Randomized Participants, Systolic blood pressure (SBP) was measured in millimeters of mercury (mmHg) on Day -1, Day 1, Weeks 2, 4, 8, and 12 of the Double Blind Period. Blood pressure (BP) values were obtained after the participant was seated for quietly for 10 minutes; a mean of 3 replicate measurements was taken at least 1 minute apart. However, if the 3 consecutive seated BP readings were not within 8 mm Hg of each other, an additional 2 BP readings were obtained (total = 5) and incorporated into the calculated mean. BP was measured in both arms. If the BP was higher in one arm than the other, then this arm was used; if no difference, the participant's dominant arm was used for all future BP measurements. Baseline was defined as the last assessment prior to the start date and time of the first dose of the double-blind study medication. Participants refrained from ingestion of caffeine, alcohol, or nicotine at least 10 hours prior to their visit and having their BP measured., Baseline to Week 12|Adjusted Mean Change From Baseline in Hemoglobin A1c (HbA1c) for 12 Week Double-Blind Treatment Period - Randomized Participants, Adjusted mean change in glycosylated hemoglobin ( HbA1c) from baseline at Week 12 was calculated. HbA1c was measured as percent of hemoglobin by a central laboratory. Baseline was defined as the last assessment prior to the start date and time of the first dose of the double-blind study medication. HbA1c values were obtained at enrollment and lead-in (Day -28) periods, and at Day 1, Weeks 4, 8, and 12, in the double-blind period., Baseline to Week 12",Type 2 Diabetes,"Antidiabetic, SGLT-2 inhibitor",NCT01195662
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: pyridoxal-5'-phosphate with and without ACE inhibitor,PHASE2,"Effects on blood pressure:|Determine the efficacy of MC-1 and of the combination of MC-1/ACE inhibitor on blood pressure as measured by mean daytime ambulatory systolic blood pressure.|Effects on metabolic function:|Determine the efficacy of MC-1 and of the combination of MC-1/ACE inhibitor on metabolic function as measured by insulinemia, fasting serum glucose, glycated hemoglobin, and triglycerides.",Diabetes Mellitus Type 2|Hypertension|Metabolic Syndrome,naturally occurring metabolite of vitamin B6,NCT00157729
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Perindopril|DRUG: Losartan|DRUG: hydrochlorothiazide,PHASE2,"Gait speed, Self-paced gait speed over 4m distance, 32 weeks",Hypertension|Aging|Sedentary Lifestyle,Renin-angiotensin system inhibitor,NCT03295734
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Angiotensin type II receptor antagonists,PHASE4,"Acute pain after cough, Intensity of pain after cough measured with the Visual Analogue Scale (VAS 0-100 mm), 24 hours postoperatively",Hypertension,NaN,NCT02513979
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: IRBESARTAN|DRUG: Atenolol,PHASE4,"Endothelial function in vivo qualification: brachial artery flow mediated vasodilation (FMV%) determined by high resolution ultrasound., at baseline and at the end of the study-12th wk",Hypertension,"Antihypertensive, Angiotensin II receptor antagonist",NCT00529750
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: losartan | DRUG: Ramipril,PHASE4,"Fatal and nonfatal stroke, two years|Progression of silent brain infarction or white matter lesion on magnetic resonance imaging, two years",Brain Infarction|Hypertension,"Antihypertensive, Angiotensin II receptor antagonist, Angiotensin-converting Enzyme Inhibitors",NCT00126516
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: intravenous (IV) administration of Angiotensin II,PHASE1,"Mean dose required to increase the SBP, The mean dose required to increase the SBP in these 3 cohorts with essential hypertension (ACE inhibitor, ARB, or those on another class of hypertensive agents) to within 5% of baseline or higher will be calculated., up to 1 hour",Hypertension,NaN,NCT03733145
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Metoprolol succinate|DRUG: Nebivolol,PHASE4,"Forearm Blood Flow, 12 weeks after each specified medication",Hypertension,"Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist",NCT01502787
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Olmesartan medoxomil,PHASE4,"Insulin Sensitivity by Intravenous Glucose Tolerance Testing (Change Over Time), Data collected from the intravenous glucose tolerance tests included blood concentrations of glucose and insulin. Glucose was measured immediately on a YSI glucose analyzer and insulin was measured via ELISA colormetric kits once all study samples were collected. To analyze changes in insulin sensitivity, the MINMOD software was used. The MINMOD software uses Bergman's minimal model to determine insulin sensitivity during an intravenous glucose tolerance test. Both glucose and insulin values were inserted at each timepoint collected (33 in total over the 3-hour protocol) and the software was run to generate the insulin sensitivity value at baseline and post-test. This information was then used to calculate the change of insulin sensitivity from baseline to post-testing after each 8-week intervention., Baseline testing to post-testing after 8-week intervention",Overweight|Obese|Prehypertension|Hypertension,"Antihypertensive, Angiotensin II receptor antagonist",NCT01684748
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Sacubitril + Valsartan Oral Tablet [Entresto],PHASE3,"Change in mPAP With Sacubitril/Valsartan compared to Standard therapy, Change in Mean Pulmonary Artery Pressure With Sacubitril/Valsartan compared to Standard therapy., Time Frame: 0-18 weeks",Pulmonary Hypertension,"Antihypertensive, Angiotensin-converting enzyme inhibitor",NCT04753112
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Micardis,PHASE3,"Change from baseline in seated systolic blood pressure at trough (24 hours post-dose), after 6 weeks of treatment|Change from baseline in urine albumine excretion rate, after 6 weeks of treatment|Change from baseline in pulse wave velocity, after 6 weeks of treatment",Hypertension,"Antihypertensive, Angiotensin II receptor antagonist",NCT02175355
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Amlodipine 10 mg or Losartan 100 mg + Amlodipine 5 mg,PHASE4,Insulin sensitivity assessed with hyperinsulinaemic isoglycaemic glucose clamp(GDR),Hypertension,"Antihypertensive, Vasodilator, Calcium channel blocker",NCT00237588
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,"DRUG: Amlodipine, Telmisartan, Amiloride Compound , Simvastatin",PHASE4,"The primary study outcomes are composite of non-fatal stroke, non-fatal myocardial infarction and cardiovascular death., 3-4 years",Essential Hypertension,Dihydropyridine calcium channel blocker,NCT01011660
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Losartan|DRUG: Captopril,PHASE1,"Changes in plasma renin activity and subsequent components of the circulating renin-angiotensin system, Changes in supine plasma renin activity and aldosterone following drug administration, 0 - 6 hours post administration",Hypertension|Pure Autonomic Failure|Multiple System Atrophy,"Antihypertensive, Angiotensin II receptor antagonist, Angiotensin-converting enzyme inhibitor",NCT01292694
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Salsalate Oral Tablet,EARLY_PHASE1,"change in endothelial function following salsalate treatment compared to placebo treatment, Endothelium-dependent vasodilation assessed by reactivity to exogenous acetylcholine, a total of 2 times throughout the study (approximately 4 weeks): 1) at the completion of 5 days of oral salsalate treatment, and 2) at the completion of 5 days of placebo treatment",Preeclampsia,"Analgesic, Anti-inflammatory, COX inhibitor",NCT03482440
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,DRUG: Dapagliflozin,PHASE4,"Change in Blood Pressure From Baseline to 6 Weeks Measured by ABPM, Blood pressure was measured at baseline with a 24 hour ambulatory blood pressure machine (ABPM), and again after 6 weeks of treatment., Baseline to 6 weeks",Type 2 Diabetes|Hypertension,"Antidiabetic, SGLT-2 inhibitor",NCT02796170
AGTR1,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin II receptor type 1 (106165) on chromosome 3q24,Renin-angiotensin system,"DRUG: Angiotensin II receptor antagonists, Calcium channel blocker",PHASE4,"Changes in blood pressure level at home after getting up.|The rate of the blood pressure levels at home after getting up, which effected the target levels (systolic blood pressure < 125 mm Hg, diastolic blood pressure < 80 mm Hg).|Adverse events, adverse drug reactions|Clinical laboratory data","Hypertension|Diabetes Mellitus, Type 2",NaN,NCT00144144
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: bosentan,PHASE4,"Change from baseline (BL) to 6 mths in the IVUS-derived measurement of pulmonary artery wall thickness., Baseline to 6 months|Change from BL to 6 mths in pulmonary microvascular circulation dilator responses to actylcholine (Ach)., Baseline to 6 months","Hypertension, Pulmonary, Primary","Antihypertensive, Endothelin receptor antagonist",NCT00595049
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Beraprost Sodium|DRUG: Sildenafil Citrate,PHASE4,"Efficacy of Beraprost, Sildenafil and comparison between both drugs in lowering pulmonary arterial pressure, Measuring mPAP (pre-post therapy) via echocardiography before and after consuming sildenafil or beraprost, 12 weeks","Pediatric Pulmonary Hypertension, Primary","Antihypertensive, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT03431649
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Oral Treprostinil,PHASE3,"Change in Exercise Capacity at Month 12, Assess the effect of continued therapy with oral treprostinil on exercise capacity as assessed by the change from Baseline in 6-Minute Walk Test (6MWT) after 1 year of treatment. The 6MWT is the clinical standard for assessing subject functional status in the treatment of PAH and has been considered an objective measure of subject functional status by the American Thoracic Society. The distance a subject can walk in 6 minutes is recorded in meters., From First Visit (Visit 1) to Month 12","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Antihypertensive, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT01027949
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Iloprost,PHASE2,NaN,Pulmonary Arterial Hypertension|Ayerza Syndrome|Pulmonary Hypertension,"Antihypertensive, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00086463
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Ambrisentan,PHASE4,"Change From Baseline in Pulmonary Vascular Resistance (PVR), Last Observation Carried Forward (LOCF), The primary objective of this study is to evaluate the change from baseline in PVR, and other hemodynamic parameters, following the addition of ambrisentan to background PDE-5i therapy in subjects with PAH who have demonstrated a sub-optimal response to PDE-5i monotherapy. A decrease in measurement value (dynes sec/cm\^5) indicates improvement for this patient population., Baseline to Week 24","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor type A antagonist",NCT00617305
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: sitaxentan,PHASE1,"Time to Reach Maximum Observed Plasma Concentration (Tmax), Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Trough Plasma Concentrations (Ctrough), Minimum or ""trough""concentrations, Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Maximum Observed Plasma Concentration (Cmax), Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Area Under the Curve of the 24 Hour Dosing Interval (AUC24), Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Apparent Oral Clearance (CL/F), Clearance of a drug is a measure of the rate at which a drug is metabolized or eliminated by normal biological processes. Clearance obtained after oral dose (apparent oral clearance) is influenced by the fraction of the dose absorbed. Clearance was estimated from population pharmacokinetic (PK) modeling. Drug clearance is a quantitative measure of the rate at which a drug substance is removed from the blood., Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Volume of Distribution at Steady State (Vss), Volume of distribution is defined as the theoretical volume in which the total amount of drug would need to be uniformly distributed to produce the desired blood concentration of a drug. Steady state volume of distribution (Vss) is the apparent volume of distribution at steady-state., Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor type A antagonist",NCT01244620
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Dimethyl Fumarate (DMF),PHASE1,"6 Minute Walk Distance (6MWD), The primary outcome of clinical efficacy in this study is improvement in 6-minute walk distance (6MWD). Data depict the mean change (%) at end-of-study-treatment (Week 24) from baseline in both treatment groups, utilizing the Last Observation Carried Forward of withdrawn subjects., Baseline to Week 24",Systemic Sclerosis|Pulmonary; Hypertension,Immunomodulator,NCT02981082
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Selexipag (JNJ-67896049),PHASE4,"Change from Baseline to Week 26 in Right Ventricular Stroke Volume (RVSV) Assessed by Pulmonary Artery Flow Magnetic Resonance Imaging (MRI), Change from baseline to week 26 in RVSV in participants will be assessed by pulmonary artery flow MRI., Baseline and week 26","Pulmonary Arterial Hypertension, Primary","Vasodilator, Prostaglandin I2 receptor agonist",NCT04435782
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Beraprost Sodium Modified Release,PHASE2,"Change From Baseline in Pulmonary Vascular Resistance at Week 12, The change in Pulmonary Vascular Resistance (PVR) was evaluated from Baseline to Week 12. PVR is expressed in Wood Units or millimeters of Mercury per Liter per minute (mmHG/L/min), Week 12|Change From Baseline in Cardiac Output (CO) at Week 12, The change in Cardiac Output was evaluated from Baseline to Week 12., Week 12|Change From Baseline in Pulmonary Arterial Pressure at Week 12, The change in mean Pulmonary Arterial Pressure (mPAP) was evaluated from Baseline to Week 12., 12 weeks","Pulmonary Arterial Hypertension, Primary","Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00989963
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Sotatercept,PHASE3,"Time to First Confirmed Morbidity or Mortality Event, Events are defined as all-cause death, lung transplantation, or PAH worsening-related hospitalization of ΓëÑ 24 hours. All events will be adjudicated by a blinded, independent committee of clinical experts., Up to approximately 46 months","Pulmonary Arterial Hypertension, Primary","Anti-anemic, Bone anabolic",NCT04896008
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Bosentan,PHASE1,"AUClast, 0-24h|Cmax, 0-24h","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor antagonist",NCT01864863
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Spironolactone,PHASE2,"Change in placebo corrected 6-minute walk distance, Change in placebo corrected 6-minute walk distance., 6 months","Pulmonary Arterial Hypertension, Primary",Aldosterone antagonist,NCT01712620
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Pemziviptadil (PB1046),PHASE2,"Incidence and severity of AEs, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Incidence of Clinical Laboratory Abnormalities, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Changes in Diastolic Blood Pressure, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Changes in Systolic Blood Pressure, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Changes in Oral Body Temperature, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Changes in Respiratory Rate, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Changes in Heart Rate, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|12-Lead ECG - Incidence of clinically significant findings, 172 days - Starting up to 30 days prior to first dose and completing 28 days after last dose.|Immunogenicity, 172 days - Starting up to 30 days prior to first dose and completing 8 weeks after last dose. May be extended in the event that result does not return to baseline in time allotted.|Change in baseline in pulmonary vascular resistance (PVR), 142 days - Pre-dose (up to 30 days prior to first dose) and post-dose 16.","Pulmonary Arterial Hypertension, Primary",NaN,NCT03556020
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: UT-15C SR|DRUG: treprostinil diethanolamine,PHASE3,"To Assess the Pharmacokinetics (Mean AM Dose) in Subjects During Twice Daily (BID) Dosing (up to 14 Days Prior to Transitioning to Three Times Daily [TID] Dosing Regimen at PK Visit 1) and up to 35 Days After Transitioning to TID Dosing (at PK Visit 2)., The PK sampling occurred over a 12-hour period in subjects during BID dosing (PK Visit 1) and during TID dosing (PK Visit 2). Prior to each PK sampling day, subjects must have been receiving a stable dose for at least 5 days., Up to 14 days prior to transitioning to TID dosing regimen (PK Visit 1) and up to 35 days after transitioning to TID dosing regiment (PK Visit 2)|To Assess the Pharmacokinetics (Cmax, Cmin) in Subjects During Twice Daily (BID) Dosing (up to 14 Days Prior to Transitioning to Three Times Daily [TID] Dosing Regimen at PK Visit 1) and up to 35, The PK sampling occurred over a 12-hour period in subjects during BID dosing (PK Visit 1) and during TID dosing (PK Visit 2). Prior to each PK sampling day, subjects must have been receiving a stable dose for at least 5 days., Up to 14 days prior to transitioning to TID dosing regimen (PK Visit 1) and up to 35 days after transitioning to TID dosing regiment (PK Visit 2)|To Assess the Pharmacokinetics (AUClast) in Subjects During Twice Daily (BID) Dosing (up to 14 Days Prior to Transitioning to Three Times Daily [TID] Dosing Regimen at PK Visit 1) and up to 35 Days After Transitioning to TID Dosing (at PK Visit 2)., The PK sampling occurred over a 12-hour period in subjects during BID dosing (PK Visit 1) and during TID dosing (PK Visit 2). Prior to each PK sampling day, subjects must have been receiving a stable dose for at least 5 days., Up to 14 days prior to transitioning to TID dosing regimen (PK Visit 1) and up to 35 days after transitioning to TID dosing regiment (PK Visit 2)","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Prostaglandin I2 receptor agonist",NCT01934582
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: rodatristat ethyl (RVT-1201) ,PHASE2,"Adverse events (AEs) and discontinuations due to AEs, Incidence of treatment-emergent adverse events (TEAEs), drug-related adverse events (AEs), and discontinuations due to AEs, 8 weeks","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Tryptophan hydroxylase inhibitor",NCT03924154
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Imatinib Mesylate,PHASE2,"Identifying the highest tolerated dose, Part 1: Discontinuation of the drug for more than 5 consecutive days due to Grade 2 or above Adverse Events, defined by NCI criteria (version 5.0, 2017) adapted for the study., 12 months|Change in pulmonary vascular resistance (PVR), Part 2: The primary efficacy endpoint is a binary variable. For patients with a baseline pulmonary vascular resistance (PVR) \>1000 dynes┬╖s┬╖cm-5, success is defined by an absolute reduction in PVR of ΓëÑ300 dynes┬╖s┬╖cm-5 at 24 weeks. For patients with a baseline PVR Γëñ1000 dynes┬╖s┬╖cm-5, success is a 30% reduction in PVR at 24 weeks., 24 months","Pulmonary Arterial Hypertension, Primary","Antineoplastic, Tyrosine kinase inhibitor",NCT04416750
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: PLX-PAD,PHASE1,"Incidence of treatment-emergent AEs (frequency and severity at each dose level), 12 weeks|Incidence of SAEs, 1 year","Pulmonary Arterial Hypertension, Primary",Cell transplant therapies,NCT01795950
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Iloprost,PHASE3,"Adverse events, Throughout the whole study","Hypertension, Pulmonary","Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00185315
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: GSK2586881,PHASE2,"Change From Baseline in Pulmonary Vascular Resistance (PVR), PVR is the resistance generated by pulmonary circulation. Pulmonary arterial catheters were placed in participants and PVR values were recorded from the right heart catheterization. Baseline was defined as the latest pre-dose assessment (Day 1) with a non-missing value, including those from unscheduled visits. Change from Baseline was measured as ratio of post-dose visit value to Baseline value., Baseline (Day 1, Pre-dose); 1 hour, 2 hours and 4 hours post-dose (Day 1)|Change From Baseline in Cardiac Output (CO), CO is the amount of blood pumped by the heart per minute. Pulmonary arterial catheters were placed in participants and CO values were recorded from the right heart catheterization. Baseline was defined as the latest pre-dose assessment (Day 1) with a non-missing value, including those from unscheduled visits. Change from Baseline was measured as ratio of post-dose visit value to Baseline value., Baseline (Day 1, Pre-dose); 1 hour, 2 hours and 4 hours post-dose (Day 1)|Change From Baseline in Mean Pulmonary Artery Pressure (mPAP), The pulmonary artery pressure is a measure of the blood pressure found in the main pulmonary artery. Pulmonary arterial catheters were placed in participants and mPAP values were recorded from the right heart catheterization. Baseline was defined as the latest pre-dose assessment (Day 1) with a non-missing value, including those from unscheduled visits. Change from Baseline was measured as ratio of post-dose visit value to Baseline value., Baseline (Day 1, Pre-dose); 1 hour, 2 hours and 4 hours post-dose (Day 1)","Hypertension, Pulmonary",Protein Based Therapies,NCT03177603
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Dapagliflozin 10 MG [Farxiga],PHASE2,"Change in VO2 max from baseline to follow up, 3 months",Pulmonary Arterial Hypertension|Chronic Thromboembolic Pulmonary Hypertension," Antidiabetic, SGLT-2 inhibitor",NCT05179356
