NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Other IDs,Study Documents
NCT01409408,Comparison of Amlodipine and Aliskiren in Diabetic Hypertensive Patient With Blood Pressure Not Controlled by Losartan,https://beta.clinicaltrials.gov/study/NCT01409408,,WITHDRAWN,NO,Hypertension|Diabetes Mellitus,DRUG: Aliskiren|DRUG: Amlodipine,"Vascular stiffness, Vascular stiffness will be measured by pulse wave velocity and augmentation index and compared between anlodipine and aliskiren., 8 weeks|Endothelial function, Access endothelial function by peripheral arterial tonometry and brachial flow-mediated vasodilation and compare it between anlodipine and aliskiren., 8 weeks|Renin activity and concentration, Access plasma renin activity and concentration and compare it between anlodipine and aliskiren., 8 weeks","Compare drug effects in office blood pressure measurements to those obtained by home blood pressure monitoring and ambulatory blood pressure monitoring, Compare drug effects in office blood pressure measurements to those obtained by home blood pressure monitoring and ambulatory blood pressure monitoring, 8 weeks|Assess drugs effects in renin-angiotensin-aldosterone system (RAAS) and correlate it to renin concentration/mass and plasmatic renin activity, Assess drugs effects in RAAS and correlate it to renin concentration/mass and plasmatic renin activity, 8 weeks|Correlation of drug effects and uric acid plasmatic concentration, Correlation of drug effects and uric acid plasmatic concentration, 8 weeks|Correlation of drug effects and glomerular filtration rate, Correlation of drug effects and glomerular filtration rate, 8 weeks|Correlation of drug effects and microalbuminuria, Correlation of drug effects and microalbuminuria, 8 weeks|Correlation of drug effects and left ventricular mass and function (systolic and diastolic), Correlation of drug effects and left ventricular mass and function (systolic and diastolic), 8 weeks",,Hospital Universitario Pedro Ernesto,Novartis,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",CAALIDH,
NCT01090752,Renal and Hormonal Effects of Pioglitazone,https://beta.clinicaltrials.gov/study/NCT01090752,,COMPLETED,YES,Diabetes|Hypertension,DRUG: Pioglitazone|DRUG: Metformin,"Effects of Pioglitazone on Renal Hemodynamics, At the end of each treatment diet phase, renal clearances were performed for the determination of GFR and RBF, 2008|Effects of Pioglitazone on Sodium and Lithium Clearances, At the end of each treatment and diet phase, 24 urine collections were collected for the determination of sodium and lithium clearances, 2007|Effects of Pioglitazone on 24h Blood Pressure Control, 24 hour blood pressure measurements were performed after each treatment/diet phase, march 2009","Effects of Pioglitazone on Salt Sensitivity, 2009",,"University Hospital, Geneva",University of Lausanne Hospitals,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",FDAAA,
NCT01275352,CLCNKA (Ka Renal Chloride Channel[ClC-Ka]) Polymorphism Effects on Hypertrophy Regression,https://beta.clinicaltrials.gov/study/NCT01275352,,WITHDRAWN,NO,Hypertension,DRUG: Eplerenone|DRUG: placebo,"Change in LV mass index (g/m2) in ClC-Ka Gly/Gly83 patients and ClC-Ka Gly/Gly83 patients, 12 months","Change in LV relative wall thickness, 6 and 12 months|Change in N-terminal pro-brain natriuretic peptide (NT-proBNP), 6 and 12 months|Change in LV mass index (g/m2), 6 months",,Washington University School of Medicine,University of Pennsylvania,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CLNCKA-1,
NCT00221845,Effect of Strict Blood Pressure Control and ACE-Inhibition on Progression of Chronic Renal Failure in Pediatric Patients,https://beta.clinicaltrials.gov/study/NCT00221845,ESCAPE,COMPLETED,NO,Children|Chronic Renal Failure|Hypertension|Acquired Kidney Disease|Congenital Kidney Disease,DRUG: ACE Inhibition|DRUG: Intensified Blood Pressure Control|DRUG: Add-on Angiotensin Receptor Blockade,"Time interval to renal 'loss' as defined by an absolute decrease in creatinine clearance by 50 % or attainment of renal replacement therapy., two-monthly","Effect of treatment on urinary protein excretion, two-monthly|Effect of treatment on blood pressure, two-monthly|Safety of treatment, initially weekly, than two-monthly",,Heidelberg University,European Commission|Boehringer Ingelheim|Baxter Healthcare Corporation|Aventis Pharmaceuticals,"CHILD, ADULT",PHASE3,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,QLRT-2001-00908,
NCT00151827,Olmesartan Medoxomil in Hypertension and Renal Impairment,https://beta.clinicaltrials.gov/study/NCT00151827,,COMPLETED,NO,Essential Hypertension|Renal Impairment,DRUG: Olmesartan medoxomil|DRUG: Losartan|DRUG: Furosemide oral tablets,"Change in mean sitting diastolic blood pressure (dBP), assessed by conventional blood pressure measurements after 12 weeks of treatment, Baseline to 12 weeks","Change in mean sitting diastolic blood pressure, assessed by conventional blood pressure measurements after 1, 2, 3, 8, 18, 24, 30, 36, 44 and 52 weeks of treatment;, Baseline to 1, 2, 3, 8, 18, 24, 30, 36, 44 and 52 weeks|Change in mean sitting systolic blood pressure, assessed by conventional blood pressure measurements after 1, 2, 3, 8, 18, 24, 30, 36, 44 and 52 weeks of treatment;, Baseline to 1, 2, 3, 8, 18, 24, 30, 36, 44 and 52 weeks|Response to treatment after 1, 2, 4, 8, 12, 18, 24, 30, 36, 44 and 52 weeks of treatment;, Response to treatment = mean sitting diastolic blood pressure less than or equal to 90 mmHg or reduction greater than or equal to 10 mmHg, Baseline to 1, 2, 4, 8, 12, 18, 24, 30, 36, 44 and 52 weeks|Changes in creatinine clearance after 12 and 52 weeks of treatment, changes in proteinuria after 4, 12, 24, 36 and 52 weeks of treatment;, Baseline to 12 and 52 weeks|Changes in serum creatinine after 12 and 52 weeks of treatment, Baseline to 12 and 52 weeks|Rate of patients per dose level after 12 and 52 weeks of treatment, Baseline to 12 and 52 weeks|Change in proteinuria after 4, 12, 24, 36 and 52 weeks of treatment, Baseline to 4, 12, 24, 36 and 52 weeks",,Sankyo Pharma Gmbh,,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",SE-866/43,
NCT04364139,African American Study of Kidney Disease and Hypertension,https://beta.clinicaltrials.gov/study/NCT04364139,AASK,COMPLETED,NO,Hypertensive Nephrosclerosis|Chronic Renal Insufficiency,OTHER: MAP goal less than or equal to 92 mm Hg|OTHER: MAP goal 102-107 mm Hg|DRUG: Ramipril|DRUG: Amlodipine|DRUG: Metoprolol,"Rate of change in GFR, GFR slope was determined separately during the first 3 months after randomization (acute phase) and during the remainder of follow-up (chronic phase), Up to 3 years","Time to 50% reduction in GFR, ESRD, or death up to 3 years, Time from randomization to any of the following (1) confirmed reduction in GFR by 50% or by 25 mL/min per 1.73 m\^2, (2) end stage renal disease (ESRD), or (3) death, Up to 3 years|Change in proteinuria, Change in proteinuria from baseline to the end of follow-up, Baseline to 3 years|Time to 50% reduction in GFR, ESRD, or death up to 10 years, Time from randomization to any of the following (1) confirmed reduction in GFR by 50% or by 25 mL/min per 1.73 m\^2, (2) end stage renal disease (ESRD), or (3) death, Up to 10 years",,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),The Cleveland Clinic,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",AASK U01DK048648|U01DK048648,
NCT00234871,"TarkaÂ® vs. LotrelÂ® in Hypertensive, Diabetic Subjects With Renal Disease (TANDEM)",https://beta.clinicaltrials.gov/study/NCT00234871,TANDEM,COMPLETED,NO,Hypertension|Diabetes|Proteinuria,DRUG: trandolapril/verapamil|DRUG: Lotrel (amlodipine/benazepril),"Changes in urinary albumin:creatinine ratio, 36 weeks","Changes in blood pressure (BP), BP control, ABPM, proteinuria, GFR lipid parameters, glycemic control, quality of life, CRP, oxidative stress markers, clinical safety labs and adverse events., 36 weeks",,Abbott,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,M03-599,
NCT00288171,Allopurinol for Renal Transplant Associated Hypertension in Children,https://beta.clinicaltrials.gov/study/NCT00288171,,WITHDRAWN,NO,Hypertension|Renal Transplant,DRUG: Placebo|DRUG: Allopurinol,"Systolic Blood Pressure, 2 months","Serum Creatinine, 2 months|urinary bradykinin, 2 months|urinary nitrates, 2 months",,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Baylor University,"CHILD, ADULT",PHASE1|PHASE2,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",DK64587-POST (terminated)|K23DK064587,
NCT00657306,Adrenal Insufficiency in Cirrhotics With Ascites. Effects of Hydrocortisone on Renal and Haemodynamic Function,https://beta.clinicaltrials.gov/study/NCT00657306,AILD,UNKNOWN,NO,Cirrhosis With Ascites,DRUG: hydrocortisone|DRUG: dextrose solution 5%,"renal function, 10 days",,,"University of Turin, Italy",,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,AILD,
NCT01131845,The Effect of Renal Impairment on the Pharmacokinetics of Oral Treprostinil,https://beta.clinicaltrials.gov/study/NCT01131845,,COMPLETED,NO,Pulmonary Arterial Hypertension|Renal Dysfunction,DRUG: UT-15C SR (treprostinil diethanolamine),"Treprostinil pharmacokinetics in volunteers with varying degrees of renal function following a single oral dose of a 1 mg treprostinil diethanolamine sustained release., 48hrs post dose (60 hours for ESRD)",,,United Therapeutics,,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,TDE-PH-120,
